model;rok;cena;cena_srednia;cena_procent;przebieg;przebieg_sredni;przebieg_procent;wiek_ogloszenia;link
Fiat 500;2016;10.0;15.67;-36.2;50.0;72.71;-31.2;112;autoscout24.ch/en/d/11454403
Fiat 500;2020;11.9;18.78;-36.6;33.0;38.9;-15.2;243;autoscout24.ch/en/d/11090744
Fiat 500;2016;9.9;15.67;-36.8;66.2;72.71;-9.0;2;autoscout24.ch/en/d/11735356
Fiat 500;2016;9.9;15.67;-36.8;63.8;72.71;-12.3;478;autoscout24.ch/en/d/10445525
Fiat 500;2016;9.9;15.67;-36.8;61.775;72.71;-15.0;345;autoscout24.ch/en/d/10808698
Fiat 500;2018;9.999;15.83;-36.8;35.0;60.9;-42.5;295;autoscout24.ch/en/d/10954345
Fiat 500;2013;6.2;9.86;-37.1;76.2;104.84;-27.3;16;autoscout24.ch/en/d/11708265
Fiat 500;2012;6.4;10.26;-37.6;69.0;113.54;-39.2;163;autoscout24.ch/en/d/11312637
Fiat 500;2015;6.7;10.78;-37.8;72.0;82.33;-12.5;5;autoscout24.ch/en/d/11728751
Fiat 500;2019;9.999;16.22;-38.4;46.0;49.18;-6.5;296;autoscout24.ch/en/d/10950366
Fiat 500;2019;9.999;16.22;-38.4;46.0;49.18;-6.5;268;autoscout24.ch/en/d/11025663
Fiat 500;2019;9.999;16.22;-38.4;43.0;49.18;-12.6;294;autoscout24.ch/en/d/10957715
Fiat 500;2019;9.999;16.22;-38.4;42.0;49.18;-14.6;269;autoscout24.ch/en/d/11020542
Fiat 500;2019;9.999;16.22;-38.4;39.94;49.18;-18.8;76;autoscout24.ch/en/d/11548859
Fiat 500;2019;9.999;16.22;-38.4;36.0;49.18;-26.8;272;autoscout24.ch/en/d/11014296
Fiat 500;2019;9.999;16.22;-38.4;33.0;49.18;-32.9;272;autoscout24.ch/en/d/11016034
Fiat 500;2010;4.499;7.33;-38.6;60.0;108.15;-44.5;75;autoscout24.ch/en/d/11552626
Fiat 500;2019;9.9;16.22;-39.0;19.5;49.18;-60.3;426;autoscout24.ch/en/d/10596287
Fiat 500;2013;5.9;9.86;-40.2;83.7;104.84;-20.2;29;autoscout24.ch/en/d/11676958
Fiat 500;2017;8.9;14.93;-40.4;40.0;71.64;-44.2;29;autoscout24.ch/en/d/11686652
Fiat 500;2008;3.9;6.59;-40.8;98.0;132.7;-26.1;3;autoscout24.ch/en/d/11733049
Fiat 500;2015;6.3;10.78;-41.6;64.0;82.33;-22.3;124;autoscout24.ch/en/d/11419862
